Marca,Vehiculos,CO2_medio_wltp,Masa_media_kg,Potencia_media_kw
DFSK SERES SOKON FENGON,164,115.6645161290323,1768.719512195122,103.5243902439025
DIABLO 60 V12,1,,1735.0,295.0
DODGE,959,321.6467065868263,2181.222106360793,355.2565172054223
DONG FENG,12,12.0,1422.083333333333,71.33333333333333
DONGFENG,227,1.29646017699115,1464.140969162996,77.67400881057269
DONKERVOORT,13,194.3846153846154,907.3076923076923,332.6923076923077
DR,24763,153.0969995557889,1396.498081815612,95.99559827161491
DS,36521,99.36229463307777,1598.825415514362,109.3145587470223
E.GO,3,0.0,1239.0,38.33333333333334
EBRO,33,162.6774193548387,1612.242424242424,108.0
EGEN TILLVERKNING,3,,1120.0,163.3333333333333
ELARIS,17,0.0,957.3529411764706,37.70588235294117
EMC,1306,158.0643185298622,1392.233537519142,92.82695252679939
ERIKSSON,1,,715.0,104.0
ETRUSCO,1,304.0,2918.0,103.0
EVEASY,1,0.0,1675.0,118.0
EVO,1203,158.665004156276,1591.767248545303,115.3067331670823
EWG,1,,710.0,60.0
EXITECH,1,,950.0,132.0
FALLER,1,0.0,900.0,
FAW,676,0.3165680473372781,2662.424556213018,354.9822485207101
FAW VW,9,193.0,1353.777777777778,100.6666666666667
FCA (USA),1,335.0,2586.0,268.0
FERRARI,3851,244.2174025974026,1884.387172163075,512.065697221501
FIAT,251837,97.31051927269262,1161.576495908068,63.58039496450093
FIAT DUCATO AFFINITY,1,221.0,2100.0,103.0
FIAT/ ILUSION,1,220.0,3066.0,132.0
FIAT/ WEINSBERG,6,267.1666666666667,3012.666666666667,103.0
FIAT/ADRIA,34,265.8529411764706,3048.264705882353,112.3823529411765
FIAT/AUTOSTAR,18,290.6111111111111,3432.222222222222,122.3333333333333
FIAT/BENIMAR,36,268.0555555555555,3035.083333333334,117.1388888888889
FIAT/CAPRON,68,270.6764705882353,3015.25,104.0735294117647
FIAT/CARPOL,5,190.0,1978.8,130.0
FIAT/CARTHAGO,15,233.0,3120.133333333333,109.8
FIAT/CHAUSSON,8,251.75,2855.75,104.875
FIAT/DETHLEFFS,16,270.0,3072.875,119.3125
FIAT/ELNAGH,1,251.0,2978.0,103.0
FIAT/ETRUSCO,1,214.0,2729.0,103.0
FIAT/EURA MOBIL,2,256.5,3390.0,118.0
FIAT/FORSTER,1,225.0,2907.0,103.0
FIAT/FRANKIA,4,276.25,4377.5,132.0
FIAT/FURGOK,3,251.0,3047.0,122.3333333333333
FIAT/HOBBY,8,273.125,3091.375,108.5
FIAT/HYMER,12,229.5,2933.833333333334,105.5
FIAT/KARMANN-MOBIL,1,313.0,2786.0,103.0
FIAT/KNAUS,30,270.3,2984.066666666667,105.9
FIAT/LAIKA,6,270.8333333333333,3286.833333333334,120.1666666666667
FIAT/LMC,3,274.6666666666667,3089.666666666667,103.0
FIAT/MCLOUIS,19,237.7368421052632,3032.842105263158,116.421052631579
FIAT/MOBILVETTA,3,277.6666666666667,3182.333333333334,122.3333333333333
FIAT/NIESMANN+BISCHOFF,2,245.5,3224.0,132.0
FIAT/POESSL,8,230.875,2961.875,115.875
FIAT/RANDGER,1,262.0,3022.0,103.0
FIAT/ROLLER TEAM,7,229.4285714285714,2909.0,96.57142857142857
FIAT/SUNLIVING,6,275.1666666666667,3018.833333333334,107.8333333333333
FISKER,789,0.0,2522.898348157561,285.093112244898
FISKER GROUP,68,0.0,2523.088235294118,175.0
FORD,333100,117.4140727625792,1620.7718372861,113.2017188912821
FORD (D),35,143.4571428571429,1584.228571428572,118.2
FORD (USA),12,275.25,1950.083333333333,315.6666666666667
FORD BURSTNER,1,231.0,2989.0,114.0
FORD NXN,2,12.0,2678.0,86.0
FORD TRANSIT/AUTO GALERIA,1,227.0,2228.0,100.0
FORD TRANSIT/FRANK-CARS,23,230.0434782608696,2360.956521739131,100.8695652173913
FORD TRANSIT/ITS SYSTEM,9,228.6666666666667,2370.888888888889,103.7777777777778
FORD/ CHAUSSON,10,236.4,3076.3,125.0
FORD/ DETHLEFFS,3,242.0,2996.666666666667,112.6666666666667
FORD/ RANDGER,3,311.6666666666667,2862.0,125.0
FORD/ALLIED VEHICLES,2,138.0,1825.0,90.0
FORD/AUTO GALERIA,4,212.5,2310.25,117.75
FORD/AUTOSTAR,6,286.0,2917.833333333334,125.0
FORD/BENIMAR,112,302.6071428571428,2938.8125,124.6428571428571
FORD/CAPRON,15,237.2,3036.333333333334,110.6666666666667
FORD/ETRUSCO,2,302.5,2868.0,108.0
FORD/FC AUTO SYSTEM,49,200.8979591836735,2335.183673469388,113.5102040816327
FORD/FRANK-CARS,5,228.6,2359.0,107.2
FORD/GERMAZ,16,200.8125,2388.875,107.375
FORD/GIOTTILINE,1,309.0,3095.0,125.0
FORD/KARMANN-MOBIL,1,213.0,2717.0,125.0
FORD/LMC,1,233.0,2884.0,125.0
FORD/MCLOUIS,2,237.5,3097.0,119.5
FORD/RODRIGUEZ LOPEZ AUTO,11,0.0,3675.0,135.0
FORD/ROLLER TEAM,11,249.5454545454545,3072.363636363637,118.3636363636364
FORD/WEINSBERG,3,264.0,2850.0,125.0
FORD-CNG TECHNIK,362,112.9530386740332,1230.878453038674,55.0
FORTHING,1720,165.3492385786802,1708.789504373178,130.3418604651163
GAC,1,0.0,1677.0,35.0
GD LOLA,1,,1165.0,225.0
GEELY,1030,145.8721278721279,1522.461165048544,129.4368932038835
GENERAL MOTORS-GMC,3,,2705.0,224.0
GENESIS,1,193.0,2020.0,148.0
GERMANIA AUTOMOTIVE GMBH,1,122.0,1452.0,79.0
GMC,14,35.36363636363637,3584.214285714286,505.0
GORDON MURRAY AUTOMOTIVE,2,410.0,1182.0,490.0
GREAT WALL,263,9.904942965779467,1772.281368821293,132.8055555555555
GREAT WALL MOTOR CO. LTD.,2983,3.771371102916527,1871.620851491787,133.9168622192424
GREAT WALL MOTOR COMPANY,105,0.4,1634.666666666667,127.6857142857143
GREAT WALL MOTOR COMPANY LIMITED,170,0.9882352941176471,1683.941176470588,127.9764705882353
GT SPECIAL,1,,1225.0,132.0
GT40,1,,1235.0,165.0
HAWK,1,,1120.0,200.0
HENKES BIL,1,,1265.0,147.0
HOBBY,1,254.0,3100.0,103.0
HONDA,41210,110.0656115736583,1584.871802960447,100.2785246299442
HONGQI,4,218.5,1832.5,163.5
HOT ROD,2,,1240.0,176.5
HOTRODPV,1,,1305.0,177.0
HOZON,1,0.0,1815.0,
HURTAN,3,151.6666666666667,1113.666666666667,11.66666666666667
HYUNDAI,436867,111.3052701700409,1435.292627208072,100.2535720335297
HYUNDAI GENESIS,29,53.14814814814815,2236.862068965517,231.4827586206897
HYUNDAI MOTOR (ROK),2,0.0,2050.0,275.0
HYUNDAI MOTORSPORT,5,,1385.0,300.0
